Metric,Value
Mean RMSE,0.769486884433794
Sigma RMSE,0.08571845296902948
Gaussian NLL,1.1559360199901747
CRPS,0.44003885984420776
Reliability score,0.007956504821777344
Calibration MAE,0.04418295888266647
68% coverage,0.6176470588235294
95% coverage,0.8529411764705882
