true_sigma,predicted_sigma
0.708994850433093,0.5797430359814385
0.7775000603922763,1.007926232947502
0.9803484180303768,1.1348331468866781
0.3428827990083656,0.2620556959012317
0.9744730004406498,1.1163205142320365
0.1823561948220685,0.18488075034499865
0.5858102823824833,0.5489572767941471
0.6954667018195194,0.5337197224281076
0.34503761644303776,0.27159479733455955
0.9864338153607316,1.1532917515303522
0.9547100255957912,0.8522725604943803
0.09797157396875217,0.14971030350018869
0.7329008395887877,0.7622663573672327
0.7454994366109416,0.9081310942337253
0.4117555883810946,0.435570427479448
0.3578300079626998,0.3325259994352199
0.3892334153081515,0.447368203295991
0.12802013800231923,0.1767523892777151
0.6380153540141069,0.5439439917263684
0.8556900075054693,0.911782822676401
0.819200069839989,0.7114721704259146
0.9889010695052722,0.9173474317862943
0.3263899039338033,0.20981123028586626
0.09238291571722344,0.11391258698850205
0.15506895752331815,0.18015235931714127
0.19750150698403957,0.23224062258175662
0.1619038532759114,0.16849834628812735
0.7928498313881105,0.8021763062691384
0.9457516145631364,0.8357762043451463
0.4129883366258257,0.4363216707741356
0.96873014838065,0.8610387049789224
0.9872474952008942,1.0453759368942634
0.8206048826907284,0.7076807296374603
0.6022543989154839,0.543393025450354
0.3217660069029364,0.32021629392783013
0.9855413493287676,0.9328829126043778
0.16479092017537614,0.173363318078209
0.8823381986514102,0.6898496120469169
0.19603715142251874,0.15963786604869823
0.21043448162459916,0.23990147627703798
0.9333254818225384,0.8315899172361563
0.7736499842590471,0.7263266116302606
0.886166927818922,0.7624761310834893
0.09282853952445339,0.15016787158155329
0.09846473562493074,0.09704906124266781
0.8573570363583016,0.8766676160744248
0.10322766952184242,0.1180557438073691
0.736041241989887,0.7527616541111546
0.6042599066372544,0.675792578379344
0.4809038744830866,0.444295934517756
0.9795250793284702,1.089389064763089
0.7521645397446983,0.7610223795558914
0.9863726574979658,1.0065221840122573
0.10947578251018622,0.1216048639951998
0.4773020911443217,0.423668121527226
0.9434412518514989,0.7776914693196904
0.5080557732155792,0.4264993443887502
0.9226139613631643,0.9957705391568141
0.12848546876769068,0.12390082335197072
0.11188551233946308,0.3664824213551989
0.7464934098172474,0.9302828720783626
0.8643425402184801,1.0597008055727606
0.49710311290082254,0.37345886542258105
0.30371199209614314,0.38971830744291625
0.3497249879137308,0.39525316791080617
0.9617819613576981,0.8644399698017549
0.29983842885208484,0.2694594251049566
0.9077912566387799,1.184802692058294
0.36869560124770184,0.3421324322553103
0.731499114326411,0.647203220691463
0.11402689538539733,0.2195748817118668
0.5834915868704013,0.512511814088079
0.14929311521867952,0.17468395012632057
0.4694061293310367,0.40313329838424294
0.945946519582347,0.9301832472794396
0.15579475943707513,0.20772341224113408
0.14693320206101054,0.12982927141889775
0.6385420685066956,0.8552077331209866
0.09592861615736348,0.19736400376524987
0.43991697897936544,0.567521604331596
0.32943993726266924,0.38293122452930206
0.8445181691152768,0.8709578117598016
0.18708650593793671,0.27975518920762865
0.09057440454481144,0.12088661058712656
0.17173192114423905,0.22369206147760623
0.4702693374562968,0.4467074349924749
0.7603311385825334,0.7387503661705055
0.11296934879964979,0.11878305486961954
0.3387258223458644,0.3087915009984667
0.8328095773515038,0.703562232482981
0.9730669932937464,0.8733756829954497
0.10753132408262711,0.22988110243107815
0.09059274164116154,0.1100123224571069
0.5714811701287232,0.33750362053163807
0.09647649915270722,0.10604269087737624
0.7938293254073312,0.7570559522545357
0.8864382431036193,1.0810616841366203
0.9757402050315828,1.0249155766391247
0.175139511887905,0.19265493233851472
0.9569324932077403,0.8660832389292836
0.9706381162367516,1.1489835478426924
0.3467121365369109,0.24064226179680984
0.9881606411487887,1.0412152166921576
0.46624663789000625,0.22304051513881393
0.44097543778841125,0.2776130031253898
0.580325498081718,0.6580609235458751
0.6294878162520131,0.6678972080853217
0.18492365647398293,0.21286644071723665
0.09172498452067922,0.08943369614117654
0.1722951341732266,0.17157556297885546
0.6429208738218442,0.4483713415186485
0.9378589299204101,0.8239906383707339
0.9852666861469973,1.1066849570350932
0.969572020521529,0.8945954742522534
0.3432211866229139,0.30079188362325887
0.32937741152647915,0.3220936147122723
0.4500042781478214,0.37058633607718555
0.31159482256435495,0.3152567480679088
0.6840401299894835,0.498624930806114
0.7713530606530353,0.7954020679613605
0.11210833431568766,0.1318398513609731
0.5940572386240303,0.5380421610055117
0.5622040202845251,0.6358991137623607
0.20656201587881362,0.2142375374335335
0.1725947008378111,0.16397082464181548
0.7546838039559663,0.803661572439988
0.648581259073503,0.6158618748383643
0.5725176850734222,0.48226396508230174
0.8941851719327576,0.9739288274602759
0.1270117028545433,0.1426590075298148
0.2494848272861152,0.26904865827712793
0.8605477745716054,0.8678241302311287
0.9711438899915809,1.2100321601566078
0.09062596563702598,0.09443691485491615
0.09011225639540792,0.0746701089785367
0.4578993238842672,0.54200351709543
0.10669541054533277,0.10280696912136768
0.2364385433747349,0.15981145879437714
0.5128774817277647,0.4020055352599474
0.958663496510925,1.3277849385248912
0.09585640430786137,0.15671365182219646
0.23210113583249625,0.23285936190521989
0.9483558317925154,0.8320261416824326
0.7247863528291685,0.9267335370025627
0.4171357724296838,0.3278851486719053
0.4822495040038532,0.40186908241464064
0.713025042459623,0.577284144353906
0.6782635946149878,0.5711140341165686
0.9831548257765353,1.014038508110696
0.34334606201844964,0.3172121429439689
0.43271084914103947,0.4321865545391114
0.30469798988095836,0.2809073113869276
0.12110693104130678,0.11528227116508863
