dataset,seed,method,region,n_points,mean_rmse,gaussian_nll,gaussian_crps,calibration_mae,coverage_68,coverage_95,mean_95_interval_width,mean_total_sd,training_time_seconds,inference_time_seconds,trained_networks,inference_networks,beta,exact_mixture_nll,mean_aleatoric_sd,mean_epistemic_sd,sigma_rmse,ood_id_total_sd_ratio,ood_id_epistemic_sd_ratio
accrue_g,42,Deep Ensembles,ID,332,0.31611796394638025,1.2094332810887731,0.46132326409397395,0.04327837666455292,0.5843373493975904,0.9216867469879518,2.929852167186693,0.7474250197410583,1.7401677079906221,0.000833877799838471,5,5,,1.2170154208543607,0.7343454957008362,0.11720381677150726,0.06849991477549498,1.084399712242172,4.376929125799465
accrue_g,42,Deep Ensembles,OOD,168,1.8400657823914972,3.355230633758654,1.2954341777637104,0.3643483709273183,0.1488095238095238,0.4642857142857143,3.1771307336903,0.8105074763298035,1.7401677079906221,0.000833877799838471,5,5,,4.485836644666967,0.6050240993499756,0.512992799282074,0.2436585288589433,1.084399712242172,4.376929125799465
accrue_g,42,Deep Ensembles,Full,500,1.0972678964771896,1.9304211915858533,0.7415845310870054,0.1511578947368421,0.438,0.768,3.0129377655319054,0.7686207294464111,1.7401677079906221,0.000833877799838471,5,5,,2.315339352055396,0.6908934712409973,0.2501889169216156,0.15186767623723874,1.084399712242172,4.376929125799465
accrue_g,42,ACCRUE,ID,332,0.28786813650130877,1.2090789935915958,0.45626646450007186,0.012935954343690543,0.641566265060241,0.9518072289156626,3.147049733051367,0.8028335571289062,0.6265303750114981,0.0002017444339192783,2,2,0.6675657629966736,,,,0.14182272535085136,0.630324399642684,
accrue_g,42,ACCRUE,OOD,168,1.6409340798739371,5.0332294518863865,1.1249313129830665,0.30357142857142855,0.2619047619047619,0.49404761904761907,1.9836621353978199,0.5060455799102783,0.6265303750114981,0.0002017444339192783,2,2,0.6675657629966736,,,,0.3240166401058378,0.630324399642684,
accrue_g,42,ACCRUE,Full,500,0.9796732712561246,2.493993547578645,0.680937853590358,0.1081052631578947,0.514,0.798,2.7561515002397754,0.703112781047821,0.6265303750114981,0.0002017444339192783,2,2,0.6675657629966736,,,,0.22052447989469584,0.630324399642684,
accrue_g,43,Deep Ensembles,ID,332,0.28070367965636,1.1763854158732234,0.4462188134088516,0.03233988585922637,0.6626506024096386,0.9367469879518072,2.8302724467762217,0.7220215201377869,2.3671747090120334,0.0007895458334436019,5,5,,1.1790244353719117,0.7177920341491699,0.059802740812301636,0.08620442883407528,0.9810262276560445,7.0763866290383906
accrue_g,43,Deep Ensembles,OOD,168,0.6043300198836355,1.8234160622110924,0.6518697176374493,0.1989348370927318,0.4166666666666667,0.7380952380952381,2.7765716574448653,0.7083220481872559,2.3671747090120334,0.0007895458334436019,5,5,,1.9223411634133512,0.5356429815292358,0.4231873154640198,0.31004117930149916,0.9810262276560445,7.0763866290383906
accrue_g,43,Deep Ensembles,Full,500,0.41836795854649117,1.3937877130427476,0.5153175172296605,0.08831578947368421,0.58,0.87,2.8122289815608865,0.7174184918403625,2.3671747090120334,0.0007895458334436019,5,5,,1.4287788559938353,0.6565899848937988,0.18189996480941772,0.19295724448555873,0.9810262276560445,7.0763866290383906
accrue_g,43,ACCRUE,ID,332,0.28681396982967133,1.1779404217678922,0.4479189736259986,0.01540900443880785,0.6716867469879518,0.9518072289156626,3.0253825607585045,0.7717954516410828,0.7531604999967385,0.00020405833298961322,2,2,0.6248518228530884,,,,0.11246263956666054,0.6495722812518655,
