method,region,mean_rmse_mean,mean_rmse_std,gaussian_nll_mean,gaussian_nll_std,gaussian_crps_mean,gaussian_crps_std,calibration_mae_mean,calibration_mae_std,coverage_68_mean,coverage_68_std,coverage_95_mean,coverage_95_std,mean_95_interval_width_mean,mean_95_interval_width_std,mean_total_sd_mean,mean_total_sd_std,sigma_rmse_mean,sigma_rmse_std,exact_mixture_nll_mean,exact_mixture_nll_std,mean_aleatoric_sd_mean,mean_aleatoric_sd_std,mean_epistemic_sd_mean,mean_epistemic_sd_std,ood_id_total_sd_ratio_mean,ood_id_total_sd_ratio_std,ood_id_epistemic_sd_ratio_mean,ood_id_epistemic_sd_ratio_std,training_time_seconds_mean,training_time_seconds_std,inference_time_seconds_mean,inference_time_seconds_std
ACCRUE,Full,0.9846916209813003,0.5507462844855229,3.754902098886835,3.4485886393268728,0.7295268882890873,0.21413145036286285,0.1441052631578947,0.045449250258177754,0.4852,0.04672472578838748,0.746,0.08254695633395576,2.583438659563291,0.42957190728605976,0.6590525865554809,0.10958667146244203,0.20942934412938047,0.06386549575028813,,,,,,,0.7439508329597572,0.1597965834781384,,,1.0810787916008848,0.5805892998013349,0.0002029063799030458,2.291178199676527e-06
ACCRUE,ID,0.36936567395252073,0.08654712675987501,1.283820015153093,0.08442589442490994,0.47155325028497963,0.0254007096564425,0.05107165504121749,0.044294069985748113,0.6156626506024097,0.048735647157062335,0.9036144578313253,0.05089381099010782,2.82289666463302,0.40425775973590417,0.7201399326324462,0.10312887246832322,0.1345361040222126,0.048251745329006585,,,,,,,0.7439508329597572,0.1597965834781384,,,1.0810787916008848,0.5805892998013349,0.0002029063799030458,2.291178199676527e-06
ACCRUE,OOD,1.5954642600763318,0.9880528731226774,8.638230978646375,10.165598863155504,1.2393319348210146,0.6383190136239344,0.3295112781954887,0.05376500297944508,0.22738095238095238,0.06205910247132555,0.4345238095238096,0.1518148898197244,2.1102240304969215,0.6192568046916516,0.5383323490619659,0.1579765728333177,0.3071022977655378,0.09005181163787784,,,,,,,0.7439508329597572,0.1597965834781384,,,1.0810787916008848,0.5805892998013349,0.0002029063799030458,2.291178199676527e-06
Deep Ensembles,Full,0.6731699021089755,0.2893977912643275,1.7319320104113032,0.38084350380071724,0.6035677427404735,0.11017006259216867,0.0974736842105263,0.033460854873482625,0.5479999999999999,0.06334035048845245,0.8228,0.053265373367695434,3.044251754126249,0.3702305924260739,0.7766090989112854,0.09444829580561108,0.19062337095249576,0.039265605324917886,2.123193291175797,0.9921438321033147,0.7316807031631469,0.09434231998205449,0.16964756697416306,0.06393018719980584,1.0858535655121173,0.2905309840473107,6.013785226017996,1.792235181552516,2.2208466335956474,0.42696070831254146,0.0008048227865947411,2.1117897965236597e-05
Deep Ensembles,ID,0.32851474597665936,0.07379439812773153,1.24782400290121,0.08087622754510304,0.4619862300391085,0.03051106601607921,0.03564362714013949,0.01699258336643608,0.6367469879518073,0.041001488737314774,0.9174698795180722,0.016023416961771536,2.958512172233019,0.23429371835543225,0.7547363758087158,0.05976994728630622,0.11970205170846845,0.0485445334195373,1.2501679818981335,0.08092023395565802,0.749512541294098,0.059320025017031104,0.06630579531192779,0.0323668363356197,1.0858535655121173,0.2905309840473107,6.013785226017996,1.792235181552516,2.2208466335956474,0.42696070831254146,0.0008048227865947411,2.1117897965236597e-05
Deep Ensembles,OOD,1.0528594593797305,0.5216493265802268,2.6886216443002966,1.0484972802429362,0.8833597797455521,0.29953881564576085,0.22018796992481202,0.10042406871513249,0.3726190476190476,0.14626394152206196,0.6357142857142858,0.16068121352837852,3.2136894992962013,0.8847798948934348,0.8198338270187377,0.22571334019913686,0.2669858067373178,0.1030443136886367,3.848457592843561,2.8968058653223885,0.696441650390625,0.2266815807417425,0.3738705784082413,0.13870841892893163,1.0858535655121173,0.2905309840473107,6.013785226017996,1.792235181552516,2.2208466335956474,0.42696070831254146,0.0008048227865947411,2.1117897965236597e-05
