x,true_sigma,predicted_sigma_mean,predicted_sigma_std
0.0,0.26,0.18093228987011425,0.16832807987414972
0.00787366579847066,0.2502554073916276,0.1809305397225341,0.16769431219219488
0.01574733159694132,0.2407081859435515,0.18095179630857147,0.1670798952661697
0.02362099739541198,0.2313616972429356,0.18096334460456565,0.1664267895722561
0.03149466319388264,0.2222190006699512,0.1809653941599637,0.16575722828528486
0.0393683289923533,0.21328285308324663,0.18098608038238923,0.1651183285111143
0.04724199479082396,0.20455570896907546,0.1810404973104373,0.16450984815423408
0.05511566058929462,0.19603972105213963,0.18112064032712802,0.16393998415462893
0.06298932638776528,0.18773674136548943,0.18122388045875618,0.16341505280424076
0.07086299218623593,0.17964832277611598,0.18135643125576753,0.16292968543128505
0.0787366579847066,0.17177572096216892,0.1813172605235431,0.1622770195847737
0.08661032378317726,0.16411989683703634,0.18116955884023608,0.1615206291468499
0.09448398958164791,0.15668151941483824,0.18101355119674575,0.1607813114143964
0.10235765538011857,0.14946096911120424,0.18085278689789097,0.16005666610336616
0.11023132117858923,0.14245834147254163,0.18069602987466923,0.15935888145639232
0.1181049869770599,0.13567345132633993,0.18056287492848802,0.15869734541163039
0.12597865277553055,0.12910583734441558,0.18045168328498892,0.1580644405346898
0.1338523185740012,0.12275476701036839,0.18035368339862518,0.1574477184282956
0.14172598437247186,0.11661924198190388,0.18027031267610763,0.1568568400566934
0.14959965017094254,0.11069800383807418,0.18017621238239848,0.15629485526029913
0.1574733159694132,0.10498954020090391,0.1800941417540267,0.1557517291907488
0.16534698176788384,0.09949209122029766,0.18003038072064073,0.15523831994928064
0.17322064756635452,0.09420365641057582,0.17997582291013534,0.15474961176613092
0.18109431336482518,0.08912200182645233,0.1799274607249455,0.15428888522124193
0.18896797916329583,0.08424466756575359,0.17989029625408606,0.15384787602423425
0.19684164496176648,0.0795689755856878,0.17986820340434226,0.15343602546263024
0.20471531076023713,0.07509203781899933,0.1798731143249623,0.153056287719613
0.21258897655870782,0.07081076457589489,0.17990172064809037,0.1527060616427809
0.22046264235717847,0.0667218732171999,0.17994973063472489,0.15239484306992537
0.22833630815564912,0.06282189708379891,0.17998753199968043,0.15209251047874228
0.2362099739541198,0.0591071946670341,0.17995439196672472,0.15174790143749214
0.24408363975259045,0.055573959004378795,0.17994919942916662,0.15145673949468014
0.2519573055510611,0.05221822728437235,0.1799724390502513,0.15120815115188704
0.25983097134953176,0.04903589064449567,0.1800100450712998,0.1510007135142626
0.2677046371480024,0.046022704145387776,0.18006978304820412,0.15084314516709166
0.27557830294647306,0.043174296904548694,0.18014026167290847,0.15071053383702987
0.2834519687449437,0.04048618237244744,0.18023600100948606,0.15060550536856135
0.2913256345434144,0.037953768733753536,0.18036135585291535,0.15054025996779352
0.2991993003418851,0.03557236941623726,0.18047674374154823,0.15051513131879235
0.30707296614035573,0.03333721368973894,0.18058440679727641,0.1505449511354251
0.3149466319388264,0.03124345733748933,0.1807262544968865,0.15061685117797785
0.32282029773729704,0.029286193381974433,0.18107193720099704,0.15088133512164312
0.3306939635357677,0.027460462847475733,0.18148407150290144,0.15122311362478255
0.33856762933423834,0.02576126554138377,0.18192627439698303,0.15163977109195823
0.34644129513270905,0.024183570836378114,0.18238735801511752,0.15209336479815155
0.3543149609311797,0.022722328435589356,0.18288988321126776,0.15261464459862675
0.36218862672965035,0.021372479102910326,0.18349113058919764,0.15302491429318904
0.370062292528121,0.020128965340702944,0.1840932355007655,0.1533647585497985
0.37793595832659166,0.018986741997254454,0.18471967622650695,0.1537428541561302
0.3858096241250623,0.017940786786471714,0.1853824919275953,0.1541733267607512
0.39368328992353296,0.016986110702464894,0.18601169398875889,0.15446673683148407
0.4015569557220036,0.016117768311861774,0.18661595306742032,0.15468590788221848
0.40943062152047427,0.015330867906910782,0.18725675274865455,0.15494147172997086
0.417304287318945,0.014620581502674267,0.1879172936394475,0.15524921466076372
0.42517795311741563,0.013982154661883467,0.188582259113675,0.1556045632428274
0.4330516189158863,0.013410916131321933,0.18924647843926068,0.155998614319724
0.44092528471435694,0.012902287273925499,0.18995110990127928,0.15645332738154916
0.4487989505128276,0.012451791281132128,0.19068512468742682,0.15697314903539333
0.45667261631129824,0.012055062150385668,0.19142913826931454,0.15754392012772742
0.4645462821097689,0.011707853413090712,0.19215979763661878,0.15807706622866208
0.4724199479082396,0.011406046598733096,0.19286715649789785,0.15848029630157118
0.48029361370671025,0.011145659421319728,0.1935960120591417,0.15894849611927175
0.4881672795051809,0.010922853674752304,0.19435912038340797,0.15947322830824678
0.49604094530365156,0.010733942824231861,0.19514894589219764,0.16005113462598342
0.5039146111021222,0.01057539928129317,0.19595246897023227,0.1606757466201421
0.5117882769005929,0.01044386135058988,0.19673257000116404,0.1612325213684311
0.5196619426990635,0.010336139837091704,0.19748701244636,0.1616276489884783
0.5275356084975342,0.01024922430291313,0.1982354212667548,0.16198176121021643
0.5354092742960048,0.01018028896356837,0.19900575608945784,0.16235583670007142
0.5432829400944755,0.010126698214038275,0.1997951292823998,0.16275661061141297
0.5511566058929461,0.010086011775641276,0.20057523191070462,0.1631065956535082
0.5590302716914168,0.010055989455320687,0.20129087704213425,0.1631210570336682
0.5669039374898874,0.01003459550959433,0.20202381366363525,0.1631636301216717
0.5747776032883581,0.010020002606057978,0.20266017666600006,0.1630773694385545
0.5826512690868288,0.01001059537599109,0.2031758861989169,0.1627241068558405
0.5905249348852994,0.010004973552280146,0.20364764035508728,0.16231771122569186
0.5983986006837702,0.010001954687550994,0.204104737570234,0.16190367883706422
0.6062722664822408,0.010000576448085573,0.20458019776949185,0.16151292678505985
0.6141459322807115,0.010000098479789428,0.20507863430569578,0.16114428177631782
0.6220195980791821,0.010000003843173214,0.20558644702936216,0.16079978407424625
0.6298932638776528,0.010000000015012977,0.2061168132253933,0.16042544195160421
0.6377669296761235,0.010000019455059269,0.2066264787901415,0.1600276709888441
0.6456405954745941,0.010000219736872939,0.2071336188276977,0.15964793677547526
0.6535142612730648,0.010000983242574734,0.20762733558264446,0.1592566633347568
0.6613879270715354,0.010002916422005372,0.20813022803305256,0.15886791253054242
0.6692615928700061,0.010006848617501618,0.20867253358432386,0.15849635019901673
0.6771352586684767,0.01001383045620077,0.20921505779450392,0.15814059799518307
0.6850089244669474,0.010025131812489901,0.2097372673149579,0.15775587932971166
0.6928825902654181,0.010042239343916015,0.21025476473192314,0.15734380030989195
0.7007562560638887,0.010066853604567884,0.21070124184106706,0.15666270895009976
0.7086299218623594,0.010100885740628668,0.21116818579550586,0.15603810036146903
0.71650358766083,0.010146453773479376,0.21164567248793847,0.15545882089688948
0.7243772534593007,0.010205878476405734,0.2120990643875994,0.1548356575801039
0.7322509192577713,0.010281678851624067,0.21251653469092172,0.15405803957983064
0.740124585056242,0.010376567214994288,0.2128925944416844,0.1531126583535023
