dataset,region,metric,de_minus_accrue_mean,de_minus_accrue_std,seeds
cubic,ID,mean_rmse,-0.13755286276891415,0.0784032696018942,5
cubic,ID,gaussian_nll,-0.21364906008056953,0.2601463975755771,5
cubic,ID,gaussian_crps,-0.074641689434501,0.03698686301416644,5
cubic,ID,calibration_mae,-0.015885167464114825,0.019739852789394344,5
cubic,ID,coverage_95,0.034965034965035,0.028726707561459765,5
cubic,ID,mean_95_interval_width,0.15047850875248442,0.8819374559701674,5
cubic,ID,mean_total_sd,0.03838801383972168,0.22498827171915026,5
cubic,ID,ood_id_total_sd_ratio,1.0825364736797152,0.8659585316398761,5
cubic,ID,training_time_seconds,1.5441132334002758,1.0428761797751036,5
cubic,ID,inference_time_seconds,0.0005927236129840214,2.627605887271018e-05,5
cubic,OOD,mean_rmse,-6.654149666303786,3.6134036169265347,5
cubic,OOD,gaussian_nll,-4903.432850289311,8017.668274018376,5
cubic,OOD,gaussian_crps,-7.581445249191562,3.4521845103579136,5
cubic,OOD,calibration_mae,-0.010624692572552875,0.011365871704815489,5
cubic,OOD,coverage_95,0.037383177570093455,0.027247438760959346,5
cubic,OOD,mean_95_interval_width,12.607675980914452,9.05486554921392,5
cubic,OOD,mean_total_sd,3.21630277633667,2.3099573598852374,5
cubic,OOD,ood_id_total_sd_ratio,1.0825364736797152,0.8659585316398761,5
cubic,OOD,training_time_seconds,1.5441132334002758,1.0428761797751036,5
cubic,OOD,inference_time_seconds,0.0005927236129840214,2.627605887271018e-05,5
cubic,Full,mean_rmse,-4.354675346719887,2.3629257655008584,5
cubic,Full,gaussian_nll,-2098.7914671861918,3431.689022509656,5
cubic,Full,gaussian_crps,-3.2875536130105196,1.4661275450102231,5
cubic,Full,calibration_mae,-0.013831578947368427,0.010754268623612144,5
cubic,Full,coverage_95,0.036,0.025416530054277665,5
cubic,Full,mean_95_interval_width,5.482159026837806,3.4436847530811483,5
cubic,Full,mean_total_sd,1.3985356330871581,0.8785071153753616,5
cubic,Full,ood_id_total_sd_ratio,1.0825364736797152,0.8659585316398761,5
cubic,Full,training_time_seconds,1.5441132334002758,1.0428761797751036,5
cubic,Full,inference_time_seconds,0.0005927236129840214,2.627605887271018e-05,5
accrue_g,ID,mean_rmse,-0.040850927975861415,0.0545015722229839,5
accrue_g,ID,gaussian_nll,-0.03599601225188298,0.08186660841684161,5
accrue_g,ID,gaussian_crps,-0.009567020245871105,0.015370137004891557,5
accrue_g,ID,calibration_mae,-0.015428027901077996,0.0555939533700936,5
accrue_g,ID,coverage_95,0.013855421686747004,0.04639923127688727,5
accrue_g,ID,mean_95_interval_width,0.13561550759999924,0.447826177843882,5
accrue_g,ID,mean_total_sd,0.03459644317626953,0.11424347642648829,5
accrue_g,ID,ood_id_total_sd_ratio,0.34190273255236026,0.16974189832151673,5
accrue_g,ID,training_time_seconds,1.1397678419947623,0.30653856577840294,5
accrue_g,ID,inference_time_seconds,0.0006019164066916953,2.2144005877580795e-05,5
accrue_g,OOD,mean_rmse,-0.5426048006966013,1.203304784577545,5
accrue_g,OOD,gaussian_nll,-5.9496093343460785,10.777011245142027,5
accrue_g,OOD,gaussian_crps,-0.3559721550754623,0.8158041817321027,5
accrue_g,OOD,calibration_mae,-0.10932330827067668,0.14012563183320145,5
accrue_g,OOD,coverage_95,0.2011904761904762,0.2582057508084723,5
accrue_g,OOD,mean_95_interval_width,1.1034654687992798,0.31377157562740615,5
accrue_g,OOD,mean_total_sd,0.28150147795677183,0.08004527585022032,5
accrue_g,OOD,ood_id_total_sd_ratio,0.34190273255236026,0.16974189832151673,5
accrue_g,OOD,training_time_seconds,1.1397678419947623,0.30653856577840294,5
accrue_g,OOD,inference_time_seconds,0.0006019164066916953,2.2144005877580795e-05,5
accrue_g,Full,mean_rmse,-0.3115217188723247,0.6755718041692945,5
accrue_g,Full,gaussian_nll,-2.0229700884755326,3.6725876108586304,5
accrue_g,Full,gaussian_crps,-0.1259591455486137,0.28171158708788846,5
accrue_g,Full,calibration_mae,-0.046631578947368406,0.0723118822203468,5
accrue_g,Full,coverage_95,0.07680000000000002,0.11238861152269833,5
accrue_g,Full,mean_95_interval_width,0.4608130945629577,0.29764319591732125,5
accrue_g,Full,mean_total_sd,0.11755651235580444,0.07593076583049094,5
accrue_g,Full,ood_id_total_sd_ratio,0.34190273255236026,0.16974189832151673,5
accrue_g,Full,training_time_seconds,1.1397678419947623,0.30653856577840294,5
accrue_g,Full,inference_time_seconds,0.0006019164066916953,2.2144005877580795e-05,5
