x,true_sigma,predicted_sigma_mean,predicted_sigma_std
0.0,0.3333333333333333,0.5185456384117795,0.31256657989857406
0.002506265664160401,0.3386237710239571,0.5178291752402081,0.30740296023570207
0.005012531328320802,0.3439968316808533,0.5171943041465847,0.3026039777008862
0.007518796992481203,0.34945241982640957,0.516566536092946,0.29784610246208076
0.010025062656641603,0.354990373299846,0.5158532022745852,0.2930534493869145
0.012531328320802004,0.360610460652609,0.5152709620638053,0.2887537399843522
0.015037593984962405,0.366312378543265,0.5147792759259877,0.2848434912587041
0.017543859649122806,0.37209574913733373,0.5143876983628396,0.2812851719917502
0.020050125313283207,0.3779601175177712,0.5140100114394468,0.27796049989167027
0.022556390977443608,0.38390494911208,0.5137177545108595,0.27491807304748733
0.02506265664160401,0.3899296271422837,0.5135223291286621,0.2721226340194061
0.02756892230576441,0.39603345010426255,0.513408622337253,0.26954116777453624
0.03007518796992481,0.4022156292831906,0.5133699338414975,0.26713669649518684
0.03258145363408521,0.40847528631206015,0.5134100388150128,0.2648940721394273
0.03508771929824561,0.41481145078050446,0.5135621853233108,0.2627787424991503
0.03759398496240601,0.4212230579013501,0.5137864641048783,0.2607639655705736
0.040100250626566414,0.42770894624253625,0.5140488804070048,0.2588801753612667
0.042606516290726815,0.4342678555322254,0.514426033597401,0.2571391516595068
0.045112781954887216,0.4408984245451095,0.5148963822606494,0.25550208463524365
0.047619047619047616,0.447599189078068,0.5154491597275898,0.2539672313931452
0.05012531328320802,0.45436858002347336,0.5161022788010972,0.25250953465140524
0.05263157894736842,0.4612049215485589,0.5168533584017796,0.25093775159283477
0.05513784461152882,0.46810642938935504,0.5176437099599246,0.24940742318485287
0.05764411027568922,0.47507120926777285,0.518669498183249,0.2477276446870713
0.06015037593984962,0.4820972554404596,0.5196659576058914,0.24611809781381278
0.06265664160401002,0.4891824493880694,0.5206776312244534,0.24458600169820954
0.06516290726817042,0.49632455865358266,0.5216484329711943,0.24318188798767693
0.06766917293233082,0.5035212358382705,0.5226605558847889,0.2418376447992826
0.07017543859649122,0.5107700177638279,0.5237184548918641,0.24055377265174446
0.07268170426065163,0.5180683248091035,0.5248251712226532,0.23933420800672386
0.07518796992481203,0.5254134604297104,0.5259699380129917,0.23819474254508552
0.07769423558897243,0.5328026108686436,0.5271767388436582,0.23713731293330317
0.08020050125313283,0.5402328450658181,0.5284307144983719,0.236156864901826
0.08270676691729323,0.5477011147742049,0.5297094300640905,0.23525691733572796
0.08521303258145363,0.5552042548899659,0.5310268491324064,0.23445256268072345
0.08771929824561403,0.5627389840036742,0.532347035142659,0.23373572825432407
0.09022556390977443,0.5703019051793562,0.5336634517897955,0.2331326506225184
0.09273182957393483,0.5778895069677037,0.5349707004017215,0.23266957823994494
0.09523809523809523,0.5854981646593748,0.5361291582429165,0.23182628063424826
0.09774436090225563,0.5931241417838421,0.5374530051705806,0.23101159522940232
0.10025062656641603,0.600763591858745,0.5387895318342671,0.23028482182503707
0.10275689223057644,0.6084125603941601,0.5401311397615343,0.22966496194869804
0.10526315789473684,0.616066987155636,0.5415084927873619,0.2291230225978176
0.10776942355889724,0.6237227086892241,0.5429222138260869,0.22862850389610426
0.11027568922305764,0.6313754611110969,0.544372109130554,0.22821113234766188
0.11278195488721804,0.6390208831636638,0.5458762185677923,0.2278659431919496
0.11528822055137844,0.6466545195393947,0.5473951690093828,0.2275887387227408
0.11779448621553884,0.6542718244728143,0.5489624860080268,0.2274307635295157
0.12030075187969924,0.6618681656003736,0.5505776999249148,0.22739906359541603
0.12280701754385964,0.66943882808711,0.552247165716534,0.22749318125401954
0.12531328320802004,0.6769790190181927,0.553960904142978,0.22772352607380833
0.12781954887218044,0.6844838720526228,0.5557324141881275,0.22810886544565526
0.13032581453634084,0.691948452335494,0.5575717653087914,0.22864425917861195
0.13283208020050125,0.6993677616643655,0.5595200036017564,0.22943758800788966
0.13533834586466165,0.7067367439044109,0.561552056958215,0.23040816548965462
0.13784461152882205,0.7140502906461231,0.5636120590707842,0.23138921751406816
0.14035087719298245,0.7213032470984649,0.5656946440198266,0.232494456682008
0.14285714285714285,0.7284904182094561,0.5677720154036944,0.23370273434529887
0.14536340852130325,0.7356065750053039,0.569744377733686,0.23493803692019224
0.14786967418546365,0.7426464611382912,0.5717619673453193,0.23641026736599288
0.15037593984962405,0.7496047996327674,0.5738110146710963,0.23810040341377436
0.15288220551378445,0.7564762998177202,0.5755439759213173,0.23914105752767018
0.15538847117794485,0.7632556644335703,0.5771988877441022,0.23999063735127887
0.15789473684210525,0.7699375968999997,0.5789086164901657,0.2409626436535137
0.16040100250626566,0.7765168087308428,0.580660872784585,0.24206533519405143
0.16290726817042606,0.7829880270812898,0.5824143076014674,0.24328175667303964
0.16541353383458646,0.7893460024119331,0.5842032492608548,0.24462032399844286
0.16791979949874686,0.7955855162534885,0.5860309671731482,0.24599532929218118
0.17042606516290726,0.8017013890553756,0.58771293330682,0.2473406625125432
0.17293233082706766,0.8076884881007347,0.5893384805562272,0.2487844224855166
0.17543859649122806,0.813541735469906,0.5910055562162628,0.2503655849993383
0.17794486215538846,0.8192561160338926,0.592713476640709,0.25208483947827703
0.18045112781954886,0.8248266854588823,0.5944002389528624,0.2538370681823365
0.18295739348370926,0.830248578202521,0.5960333055789967,0.255602088079826
0.18546365914786966,0.8355170154823027,0.5976905097090913,0.2575000448699676
0.18796992481203006,0.8406273131961838,0.5994440288005568,0.2595968172373671
0.19047619047619047,0.8455748897753367,0.6011991593543534,0.2618443489482506
0.19298245614035087,0.8503552739488409,0.6029148266005252,0.2641330933341778
0.19548872180451127,0.8549641124000473,0.604438535224383,0.2662012941907865
0.19799498746867167,0.8593971772943899,0.6059730063101489,0.26839019165561345
0.20050125313283207,0.8636503736584952,0.607490850844395,0.2706591657537157
0.20300751879699247,0.8677197465906294,0.6090203666664109,0.2730552570912413
0.20551378446115287,0.8716014882827521,0.6103029059992433,0.2744393839035855
0.20802005012531327,0.8752919448347761,0.6114382046568201,0.2754341506189593
0.21052631578947367,0.8787876228420246,0.6125346154627793,0.27652009809248346
0.21303258145363407,0.8820851957373436,0.613455447582903,0.27745844200813313
0.21553884711779447,0.885181509869875,0.6142816766172696,0.27846454538079324
0.21804511278195488,0.8880735903031053,0.6151309344593401,0.2796639646612727
0.22055137844611528,0.8907586463154877,0.6159385230585608,0.2809210874110679
0.22305764411027568,0.8932340765876933,0.6166343237857967,0.2820634367386062
0.22556390977443608,0.8954974740613525,0.6173730444869032,0.28342337897198244
0.22807017543859648,0.8975466304550368,0.6181585819605552,0.2850116426872455
0.23057644110275688,0.899379540424161,0.6189826841850212,0.28682473965691013
0.23308270676691728,0.9009944053524802,0.6198469705531804,0.28887127519192835
0.23558897243107768,0.902389636763904,0.6207367439949959,0.2911415572890245
0.23809523809523808,0.9035638593444338,0.6213211541609874,0.2932766790853208
0.24060150375939848,0.9045159135651734,0.6218112322297366,0.2956006315777488
0.24310776942355888,0.9052448578985258,0.6222718706849172,0.29812301645411726
0.24561403508771928,0.9057499706209052,0.622418831625533,0.3003374681335195
0.24812030075187969,0.906030751196517,0.6224759134920871,0.3025859094802499
0.2506265664160401,0.906086921238029,0.6224463777944338,0.3046915579367828
0.2531328320802005,0.9059184250412208,0.6219662385627658,0.30508084184557754
0.2556390977443609,0.9055254296919956,0.6214011065222846,0.3051407597912803
0.2581453634085213,0.9049083247454269,0.6204757310877383,0.30440390564911585
0.2606516290726817,0.9040677214778167,0.6190646561427716,0.30239548730413846
0.2631578947368421,0.903004451714025,0.6175617678934363,0.3002999349999505
0.2656641604010025,0.9017195662336223,0.616001730598994,0.2983267086691237
0.2681704260651629,0.9002143327606772,0.6143384563424779,0.29643648217892227
0.2706766917293233,0.8984902335432419,0.6127211288044889,0.29477978622318474
0.2731829573934837,0.8965489625298195,0.6111580297014819,0.293353290864444
0.2756892230576441,0.8943924221512839,0.609520732492475,0.2918719146409814
0.2781954887218045,0.8920227197178808,0.6078777747051245,0.290575614747382
0.2807017543859649,0.8894421634420534,0.606254927136792,0.28947967745686753
0.2832080200501253,0.8866532580988938,0.6046552499563068,0.2885742813140148
0.2857142857142857,0.8836587003370598,0.6029576157940055,0.28771411469834296
0.2882205513784461,0.8804613736539378,0.6010935977104304,0.28679706819246015
0.2907268170426065,0.8770643430497636,0.5992622449949649,0.2860993947864973
0.2932330827067669,0.8734708493762441,0.5974582891423694,0.2856019175764412
0.2957393483709273,0.8696843033960153,0.5956068301448115,0.28522153104739195
0.2982456140350877,0.8657082795699859,0.5936272949267238,0.2846872740176963
0.3007518796992481,0.861546509590267,0.5915432459526034,0.283934400407685
0.3032581453634085,0.8572028756769662,0.5893757162905229,0.2831328704433873
0.3057644110275689,0.852681403657627,0.5872155942420805,0.2825220904209086
0.3082706766917293,0.8479862558485324,0.5850576751744743,0.28205676107734706
0.3107769423558897,0.8431217237574425,0.58277576728426,0.28136404161756107
0.3132832080200501,0.8380922206276268,0.5801635236745141,0.27977986861810167
0.3157894736842105,0.8329022738432501,0.5774052358872281,0.27807961793280844
0.3182957393483709,0.8275565172163128,0.5746250038678249,0.2765007485483362
0.3208020050125313,0.8220596831753979,0.5718941135098441,0.2751705929015364
0.3233082706766917,0.8164165948764671,0.5691299488593294,0.27389944891390156
0.3258145363408521,0.8106321582558582,0.566164687530013,0.27227889896065854
0.3283208020050125,0.8047113540454821,0.563133424031018,0.2706739301563018
0.3308270676691729,0.7986592297699898,0.5599261196906408,0.2687060231554671
0.3333333333333333,0.7924808917453884,0.5561178819952822,0.2649559115901856
0.3358395989974937,0.7861814970982314,0.5523324890571842,0.26146948591945357
0.3383458646616541,0.7797662458240908,0.5486910639103546,0.2581798747057979
0.3408521303258145,0.7732403729035459,0.5452115091747849,0.2551060951332602
0.3433583959899749,0.7666091404933896,0.5418560874949901,0.25233911246564406
0.3458646616541353,0.7598778302101837,0.5385493442925412,0.24981202872941904
0.3483709273182957,0.7530517355226554,0.5351708368528062,0.24736917948798712
0.3508771929824561,0.7461361542687599,0.5316654881357631,0.24472061994587815
0.3533834586466165,0.7391363813125255,0.5280622417729967,0.24196737485161565
0.3558897243107769,0.7320577013550434,0.5244243260978011,0.2391835611850273
0.3583959899749373,0.7249053819131879,0.5203837598145481,0.23563760274343565
0.3609022556390977,0.7176846664788411,0.5163728837827521,0.232228562530036
0.3634085213032581,0.7104007678705675,0.5124276894875168,0.22900666739247713
0.3659147869674185,0.7030588617888273,0.5084580949940056,0.2259195213157988
0.3684210526315789,0.6956640805849496,0.5043740718882485,0.22271166638622522
0.37092731829573933,0.6882215072532064,0.5001009923329299,0.21916512299595742
0.37343358395989973,0.6807361696544411,0.4958040420975196,0.21572036446561632
0.37593984962406013,0.6732130349788078,0.49153391634889276,0.21238382127927768
0.37844611528822053,0.6656570044542881,0.48711677826949945,0.20893244105117617
0.38095238095238093,0.6580729083067639,0.48253444965475717,0.20532612443297704
0.38345864661654133,0.6504655009765333,0.47779122048898676,0.20135013071648122
0.38596491228070173,0.6428394565952947,0.4731384722011836,0.19758630195711552
0.38847117794486213,0.6351993647267531,0.46857012960370753,0.19403042524552297
0.39097744360902253,0.627549726373169,0.4640849941541703,0.19066890461398392
0.39348370927318294,0.6198949502493389,0.4596517010828721,0.1874347061437543
0.39598997493734334,0.6122393493246988,0.4552150740828261,0.18417693343369407
0.39849624060150374,0.6045871376334585,0.4507520370457119,0.1808165337720722
0.40100250626566414,0.59694242735193,0.44637207005699686,0.1776405826851565
0.40350877192982454,0.5893092261414871,0.44207803112306104,0.17466723355387995
0.40601503759398494,0.5816914347548948,0.4377368995943447,0.17166892561289368
0.40852130325814534,0.5740928449031019,0.4334974427126127,0.16886503841425318
0.41102756892230574,0.5665171373789449,0.429360430387828,0.16628378603974966
0.41353383458646614,0.5589678804336369,0.4253455986970731,0.16386719038073633
